new_cases;new_deaths;country;population_density
21;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
20;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
6;1;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
102;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
29;1;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
202;2;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
295;7;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
384;3;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
50;5;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
179;5;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
224;5;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
168;4;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
139;3;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
27;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
127;1;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
52;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
30;1;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
68;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
29;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
38;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
45;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
32;1;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
54;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
85;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
61;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
86;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
102;2;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
99;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
72;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
58;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
